move_id,phase,state_step,candidate_id,receiver,role,primitive,level,accepted,accepted_cumulative,flight_step_m,flight_cumulative_m
1,stage_i,1,0,5,probe,F,3,0,0,0.625,0.625
2,stage_i,1,0,5,probe_inverse,B,3,0,0,0.625,1.25
3,stage_i,1,1,5,probe,B,3,0,0,0.625,1.875
4,stage_i,1,1,5,probe_inverse,F,3,0,0,0.625,2.5
5,stage_i,1,2,5,probe,L,3,0,0,0.625,3.125
6,stage_i,1,2,5,probe_inverse,R,3,0,0,0.625,3.75
7,stage_i,1,3,5,probe,R,3,0,0,0.625,4.375
8,stage_i,1,3,5,probe_inverse,L,3,0,0,0.625,5.0
9,stage_i,1,-1,5,commit,F,3,1,1,0.625,5.625
10,stage_i,2,0,8,probe,F,3,0,1,0.625,6.25
11,stage_i,2,0,8,probe_inverse,B,3,0,1,0.625,6.875
12,stage_i,2,1,8,probe,B,3,0,1,0.625,7.5
13,stage_i,2,1,8,probe_inverse,F,3,0,1,0.625,8.125
14,stage_i,2,2,8,probe,L,3,0,1,0.625,8.75
15,stage_i,2,2,8,probe_inverse,R,3,0,1,0.625,9.375
16,stage_i,2,3,8,probe,R,3,0,1,0.625,10.0
17,stage_i,2,3,8,probe_inverse,L,3,0,1,0.625,10.625
18,stage_i,2,0,5,probe,F,3,0,1,0.625,11.25
19,stage_i,2,0,5,probe_inverse,B,3,0,1,0.625,11.875
20,stage_i,2,1,5,probe,B,3,0,1,0.625,12.5
21,stage_i,2,1,5,probe_inverse,F,3,0,1,0.625,13.125
22,stage_i,2,2,5,probe,L,3,0,1,0.625,13.75
23,stage_i,2,2,5,probe_inverse,R,3,0,1,0.625,14.375
24,stage_i,2,3,5,probe,R,3,0,1,0.625,15.0
25,stage_i,2,3,5,probe_inverse,L,3,0,1,0.625,15.625
26,stage_i,2,0,8,probe,F,4,0,1,0.3125,15.9375
27,stage_i,2,0,8,probe_inverse,B,4,0,1,0.3125,16.25
28,stage_i,2,1,8,probe,B,4,0,1,0.3125,16.5625
29,stage_i,2,1,8,probe_inverse,F,4,0,1,0.3125,16.875
30,stage_i,2,2,8,probe,L,4,0,1,0.3125,17.1875
31,stage_i,2,2,8,probe_inverse,R,4,0,1,0.3125,17.5
32,stage_i,2,3,8,probe,R,4,0,1,0.3125,17.8125
33,stage_i,2,3,8,probe_inverse,L,4,0,1,0.3125,18.125
34,stage_i,2,0,5,probe,F,4,0,1,0.31249999999999994,18.4375
35,stage_i,2,0,5,probe_inverse,B,4,0,1,0.31249999999999994,18.75
36,stage_i,2,1,5,probe,B,4,0,1,0.31249999999999994,19.0625
37,stage_i,2,1,5,probe_inverse,F,4,0,1,0.31249999999999994,19.375
38,stage_i,2,2,5,probe,L,4,0,1,0.31249999999999994,19.6875
39,stage_i,2,2,5,probe_inverse,R,4,0,1,0.31249999999999994,20.0
40,stage_i,2,3,5,probe,R,4,0,1,0.31249999999999994,20.3125
41,stage_i,2,3,5,probe_inverse,L,4,0,1,0.31249999999999994,20.625
42,stage_i,2,0,8,probe,F,5,0,1,0.15625,20.78125
43,stage_i,2,0,8,probe_inverse,B,5,0,1,0.15625,20.9375
44,stage_i,2,1,8,probe,B,5,0,1,0.15625,21.09375
45,stage_i,2,1,8,probe_inverse,F,5,0,1,0.15625,21.25
46,stage_i,2,2,8,probe,L,5,0,1,0.15625,21.40625
47,stage_i,2,2,8,probe_inverse,R,5,0,1,0.15625,21.5625
48,stage_i,2,3,8,probe,R,5,0,1,0.15625,21.71875
49,stage_i,2,3,8,probe_inverse,L,5,0,1,0.15625,21.875
50,stage_i,2,-1,8,commit,F,5,1,2,0.15625,22.03125
51,stage_i,3,0,5,probe,F,5,0,2,0.15624999999999997,22.1875
52,stage_i,3,0,5,probe_inverse,B,5,0,2,0.15624999999999997,22.34375
53,stage_i,3,1,5,probe,B,5,0,2,0.15624999999999997,22.5
54,stage_i,3,1,5,probe_inverse,F,5,0,2,0.15624999999999997,22.65625
55,stage_i,3,2,5,probe,L,5,0,2,0.15624999999999997,22.8125
56,stage_i,3,2,5,probe_inverse,R,5,0,2,0.15624999999999997,22.96875
57,stage_i,3,3,5,probe,R,5,0,2,0.15624999999999997,23.125
58,stage_i,3,3,5,probe_inverse,L,5,0,2,0.15624999999999997,23.28125
59,stage_i,3,-1,5,commit,B,5,1,3,0.15624999999999997,23.4375
60,stage_i,4,0,8,probe,F,5,0,3,0.15625,23.59375
61,stage_i,4,0,8,probe_inverse,B,5,0,3,0.15625,23.75
62,stage_i,4,1,8,probe,B,5,0,3,0.15625,23.90625
63,stage_i,4,1,8,probe_inverse,F,5,0,3,0.15625,24.0625
64,stage_i,4,2,8,probe,L,5,0,3,0.15625,24.21875
65,stage_i,4,2,8,probe_inverse,R,5,0,3,0.15625,24.375
66,stage_i,4,3,8,probe,R,5,0,3,0.15625,24.53125
67,stage_i,4,3,8,probe_inverse,L,5,0,3,0.15625,24.6875
68,stage_i,4,-1,8,commit,B,5,1,4,0.15625,24.84375
69,stage_ii,6,0,1,probe,F,0,0,4,5.0,29.84375
70,stage_ii,6,0,1,probe_inverse,B,0,0,4,5.0,34.84375
71,stage_ii,6,1,1,probe,B,0,0,4,5.0,39.84375
